time (ms),pressure (Pa)
195247,98662.53
195561,98663.86
195875,98639.69
196189,98660.69
196507,98657.68
196821,98662.93
197135,98668.41
197449,98622.98
197767,98658.13
198081,98665.05
198395,98661.46
198709,98602.68
199027,98621.19
199341,98661.05
199655,98667.03
199969,98659.91
200287,98665.58
200601,98646.66
200915,98564.03
202489,98664.39
202807,98660.73
203121,98664.43
203435,98644.7
203750,98642.23
204068,98652.47
204382,98666.6
204696,98670.48
205010,98654.27
205328,98668.41
205642,98674.12
205956,98657.0
206270,98649.84
206588,98594.84
206902,98648.37
207216,98656.14
207530,98674.13
207848,98670.55
208162,98663.98
208476,98658.97
208790,98650.23
209108,98657.06
209422,98651.77
209736,98646.6
210050,98652.43
210368,98664.3
210682,98657.06
210996,98669.87
211310,98666.8
211628,98659.8
211942,98660.98
212256,98662.15
212570,98641.73
212888,98653.09
213202,98663.84
213516,98669.11
213830,98663.18
214148,98664.14
214462,98660.75
214776,98657.55
215090,98655.66
215408,98652.72
215722,98651.53
216036,98653.0
216350,98663.75
216668,98663.22
216982,98662.95
217296,98656.27
217610,98644.07
217928,98656.74
218242,98654.92
218556,98647.2
218870,98655.63
219188,98664.89
219502,98655.82
219816,98656.5
220130,98663.81
220448,98663.54
220763,98662.36
221077,98648.12
221391,98649.11
221709,98660.66
222023,98654.38
222337,98663.88
222651,98665.71
222969,98662.99
223283,98651.8
223597,98655.38
223911,98663.18
224229,98664.39
224543,98655.19
224857,98654.51
22517,98664.02
225500,98668.86
225814,98659.99
226128,98662.73
226442,98648.29
226760,98654.07
227074,98634.16
227388,98652.92
227702,98654.66
228031,98663.54
228345,98664.24
228659,98665.21
228973,98664.66
229291,98657.16
229605,98648.43
229919,98650.19
230234,98653.61
230552,98663.93
230866,98658.73
231180,98659.09
231494,98664.18
231812,98655.71
232126,98646.55
232440,98658.84
232754,98651.98
233072,98654.89
233386,98666.22
233700,98663.52
234014,98665.55
234332,98653.0
234645,98634.02
234959,98982.29
